tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,WD_NODE,DPS_NODE
2023-03-14,12,159,2000000001202746,132,2000000000088950,115179.0,2,0,,sdv-pii-47iph,135-2000000001323566
2023-03-23,6,136,2000000000236729,160,2000000000992326,157687.0,7,4,SP,sdv-pii-v56jv,165-2000000000998356
2023-03-12,15,153,2000000001121134,165,2000000001133945,20376735.0,2,0,01,sdv-pii-5j3n3,161-2000000002080425
2023-03-25,9,153,2000000001999990,165,2000000001579381,2575640.0,7,1,,sdv-pii-i1jmd,136-2000000001260719
2023-03-15,18,135,2000000002065672,159,2000000001523562,4394764.0,7,0,,sdv-pii-q3vsz,160-2000000000634921
2023-03-15,21,134,2000000000980163,135,2000000000186832,815430.0,4,0,SP,sdv-pii-qhxah,160-2000000000634921
2023-03-16,15,158,2000000001631754,159,2000000000449197,253703.0,5,0,,sdv-pii-r7jb2,136-2000000001874481
2023-03-21,12,153,2000000001826425,132,2000000000905201,51676.0,4,0,,sdv-pii-unzf7,165-2000000001532677
2023-03-02,18,136,2000000000825596,133,2000000000792682,238220.0,4,0,,sdv-pii-0uz8r,160-2000000000634921
2023-03-16,18,136,2000000001156940,159,2000000001350979,61495.0,7,3,,sdv-pii-elv19,159-2000000001690318
2023-03-13,18,161,2000000001408085,133,2000000001572688,40265.0,2,0,,sdv-pii-0tvkl,137-2000000001025618
2023-03-10,18,161,2000000000201702,132,2000000000641082,31228.0,2,0,,sdv-pii-or79u,165-2000000000998356
2023-03-08,21,136,2000000001577040,134,2000000001624274,207448.0,5,4,,sdv-pii-s2la0,161-2000000000084003
2023-03-22,6,161,2000000001443274,159,2000000000621970,25164.0,7,0,,sdv-pii-3gd2f,135-2000000000636388
2023-03-10,21,162,2000000000984589,147,2000000000993658,18209.0,2,0,,sdv-pii-753pr,159-2000000001642451
2023-03-08,9,166,2000000001962082,165,2000000000104182,99624.0,4,0,SP,sdv-pii-syh1t,149-2000000001221102
2023-03-25,6,160,2000000000507559,159,2000000001053382,175623.0,2,0,,sdv-pii-2u354,153-2000000001356992
2023-03-25,9,153,2000000001476477,165,2000000001985573,314669.0,4,0,,sdv-pii-xpj5n,165-2000000000305332
2023-03-10,6,135,2000000000562717,153,2000000001359087,71976.0,4,0,,sdv-pii-u647w,160-2000000000653077
2023-03-14,12,148,2000000001771154,160,2000000000092973,200120.0,7,0,,sdv-pii-i1ciq,137-2000000000839410
2023-03-17,6,136,2000000000130754,159,2000000000194217,1.0,7,0,,sdv-pii-wuyh7,159-2000000001598160
2023-03-02,12,136,2000000001179963,165,2000000001621225,157811.0,5,0,,sdv-pii-gff0x,153-2000000000424386
2023-03-09,18,159,2000000001430434,153,2000000001090190,183293.0,4,0,,sdv-pii-ldbeq,153-2000000001356992
2023-03-02,15,158,2000000002048082,159,2000000001339103,148136.0,7,0,,sdv-pii-6n924,152-2000000000160429
2023-03-14,3,136,2000000001444072,159,2000000000615408,1.0,4,3,,sdv-pii-d5d1c,160-2000000000634921
2023-03-23,18,161,2000000000579456,132,2000000000957646,53164.0,2,0,,sdv-pii-0bunc,135-2000000000803741
2023-03-11,18,162,2000000000915142,132,2000000001029448,237447.0,2,0,,sdv-pii-sxo7i,160-2000000001985764
2023-03-24,6,136,2000000001583282,160,2000000002098228,1.0,2,0,,sdv-pii-z7m10,154-2000000001688692
2023-03-02,21,160,2000000002066272,160,2000000000711889,192040.0,2,0,,sdv-pii-n997q,132-2000000000637613
2023-03-25,15,147,2000000001181472,165,2000000001396595,3405365.0,2,0,,sdv-pii-wmy0r,135-2000000000803741
2023-03-14,18,136,2000000000969135,133,2000000000155400,249827.0,2,0,,sdv-pii-hr5md,133-2000000002056497
2023-03-21,6,160,2000000002056870,159,2000000000036692,145058.0,7,0,,sdv-pii-n3mbw,153-2000000000198804
2023-03-10,9,161,2000000001549102,165,2000000001274562,116194.0,2,0,,sdv-pii-vjyhm,165-2000000000796558
2023-03-10,18,160,2000000001035472,158,2000000001059774,126165.0,2,0,,sdv-pii-7e023,165-2000000000594805
2023-03-06,21,161,2000000001954270,159,2000000000915317,9156728.0,2,0,,sdv-pii-3ckxc,161-2000000000081969
2023-03-09,21,149,2000000000678744,165,2000000001778544,63698.0,4,0,02,sdv-pii-hvf76,159-2000000000435212
2023-03-10,21,161,2000000002022208,132,2000000001143390,3654040.0,4,0,01,sdv-pii-hkxbp,147-2000000000748711
2023-03-09,9,136,2000000001189174,165,2000000000598037,252950.0,5,0,,sdv-pii-4hd9w,147-2000000001890605
2023-03-15,12,149,2000000000356386,133,2000000001586338,221709.0,2,0,,sdv-pii-hgd0b,137-2000000000676127
2023-03-17,12,153,2000000000219969,165,2000000000920753,8998101.0,4,0,02,sdv-pii-pa0gt,148-2000000000405208
2023-03-21,21,149,2000000000874803,165,2000000000919570,91043.0,2,0,02,sdv-pii-o2v22,136-2000000000517487
2023-03-24,6,148,2000000001721760,165,2000000000127059,77177.0,4,0,,sdv-pii-i9bk0,161-2000000000656821
2023-03-13,3,165,2000000001026205,133,2000000001613757,379733.0,2,0,,sdv-pii-ykkk4,153-2000000000389896
2023-03-02,6,149,2000000001948485,136,2000000001622020,1.0,1,0,01,sdv-pii-ealjc,109-2000000001312264
2023-03-03,3,136,2000000001193461,159,2000000001135881,1.0,7,3,,sdv-pii-mjcbg,159-2000000000668650
2023-03-14,6,135,2000000001679517,165,2000000000119402,289279.0,5,0,,sdv-pii-5expe,165-2000000000575865
2023-03-24,6,136,2000000001049864,160,2000000000375066,1.0,7,3,,sdv-pii-37qc9,136-2000000001913997
2023-03-11,9,148,2000000000323298,132,2000000001095478,4934433.0,2,0,,sdv-pii-i5g50,161-2000000001840918
2023-03-24,21,149,2000000001732192,133,2000000000298304,269497.0,2,0,,sdv-pii-kexz5,135-2000000002041922
2023-03-02,12,161,2000000000245384,159,2000000001609136,432693.0,2,0,,sdv-pii-en22d,153-2000000000685160
2023-03-16,0,165,2000000000178870,133,2000000001600959,179447.0,2,0,,sdv-pii-514lc,165-2000000001458721
2023-03-03,3,136,2000000001602976,164,2000000001579006,239877.0,7,0,,sdv-pii-1vpzq,165-2000000001392277
2023-03-10,9,134,2000000000628087,165,2000000001129267,51307.0,7,0,,sdv-pii-6iami,159-2000000000055457
2023-03-10,9,148,2000000000142689,165,2000000001648426,193868.0,2,0,,sdv-pii-47zho,135-2000000000528696
2023-03-14,18,135,2000000001442858,158,2000000000113739,173398.0,2,0,,sdv-pii-46eef,165-2000000000796558
2023-03-22,9,148,2000000000132002,165,2000000000695928,19376054.0,4,0,02,sdv-pii-g6z29,148-2000000000405208
2023-03-27,18,148,2000000001575642,134,2000000000171920,198077.0,2,0,,sdv-pii-luxna,136-2000000000960137
2023-03-23,9,116,2000000001510192,122,2000000001018618,133117.0,4,0,,sdv-pii-bsjjc,161-2000000000399224
2023-03-11,21,148,2000000001528976,165,2000000000283856,1802.0,2,0,,sdv-pii-eq9cu,153-2000000001643116
2023-03-22,15,162,2000000000907626,165,2000000001546954,975214.0,2,0,02,sdv-pii-f817d,165-2000000000107113
2023-03-23,15,149,2000000000708212,132,2000000000946742,313545.0,4,0,,sdv-pii-80fmf,159-2000000000740775
2023-03-11,9,161,2000000001481881,132,2000000001262517,288712.0,2,0,,sdv-pii-iq9zl,136-2000000000500424
2023-03-02,0,161,2000000001486977,160,2000000001078278,195413.0,2,0,,sdv-pii-trphv,147-2000000001473822
2023-03-24,9,159,2000000001998009,160,2000000001155094,1856575.0,7,0,,sdv-pii-hcl4i,135-2000000000273894
2023-03-20,6,160,2000000001383508,159,2000000000233142,9534820.0,2,0,02,sdv-pii-eg12q,148-2000000001430612
2023-03-13,15,112,2000000001371614,153,2000000001678075,90763.0,2,0,,sdv-pii-t3hxu,153-2000000000389896
2023-03-10,12,136,2000000001314993,159,2000000000974198,72260.0,5,0,,sdv-pii-83ha0,136-2000000001874481
2023-03-14,12,137,2000000000563722,159,2000000000725895,184106.0,2,0,,sdv-pii-x6c5m,147-2000000000306044
2023-03-09,6,136,2000000001073657,165,2000000000235234,162108.0,5,0,SP,sdv-pii-gz41r,153-2000000001356992
2023-03-07,12,148,2000000001153624,165,2000000001045389,1.0,2,0,02,sdv-pii-5nteb,147-2000000000324159
2023-03-25,6,136,2000000001022981,135,2000000000198876,1.0,2,0,,sdv-pii-mv5py,153-2000000001852801
2023-03-23,6,160,2000000001493154,165,2000000001509931,266488.0,7,0,,sdv-pii-79pyo,136-2000000001990227
2023-03-21,6,136,2000000000227098,165,2000000001055142,6687.0,6,0,,sdv-pii-2xe8y,133-2000000000540534
2023-03-03,9,136,2000000000928994,159,2000000000407500,47069.0,7,3,,sdv-pii-taavn,159-2000000001598160
2023-03-25,12,135,2000000001442352,135,2000000000903374,104888.0,4,0,,sdv-pii-rodj4,148-2000000000141050
2023-03-15,12,136,2000000001498116,165,2000000001014897,155374.0,4,0,,sdv-pii-mn32j,165-2000000001532677
2023-03-02,6,136,2000000000548287,159,2000000000919136,1.0,7,3,,sdv-pii-jxa3z,159-2000000001598160
2023-03-13,15,154,2000000001543388,160,2000000000222508,86525.0,4,0,,sdv-pii-jpd40,160-2000000000634921
2023-03-26,18,147,2000000000473579,160,2000000000935928,170413.0,4,0,,sdv-pii-7oo8o,153-2000000001882810
2023-03-14,9,134,2000000001996755,133,2000000001053604,282854.0,2,0,,sdv-pii-aayld,148-2000000000102613
2023-03-15,15,136,2000000000461316,165,2000000001142270,701444.0,2,0,02,sdv-pii-m1xzn,156-2000000000941082
2023-03-21,15,161,2000000001134937,133,2000000001993682,18316578.0,2,0,,sdv-pii-ay4u0,135-2000000001792075
2023-03-14,21,148,2000000000338998,159,2000000000208216,8919067.0,4,0,02,sdv-pii-t5tlm,153-2000000000470847
2023-03-03,12,161,2000000001170072,135,2000000000982289,2468778.0,4,0,02,sdv-pii-2v9xd,153-2000000001852801
2023-03-03,18,165,2000000000893217,133,2000000001017648,189645.0,4,0,,sdv-pii-llo7r,154-2000000001237015
2023-03-02,15,160,2000000000491828,133,2000000000819100,1.0,2,0,,sdv-pii-imnfp,136-2000000001874481
2023-03-04,9,153,2000000000995230,165,2000000000160640,269101.0,4,0,SP,sdv-pii-fc59g,165-2000000001293668
2023-03-20,6,137,2000000001154388,159,2000000000790765,222613.0,7,3,,sdv-pii-nrlvm,159-2000000001690318
2023-03-11,9,160,2000000001574445,134,2000000001787197,84979.0,2,0,,sdv-pii-cz0c7,159-2000000001257130
2023-03-13,6,160,2000000001366493,165,2000000001587452,1.0,2,0,02,sdv-pii-m7qv5,135-2000000000561974
2023-03-16,9,148,2000000000805131,135,2000000001119311,19674562.0,2,0,01,sdv-pii-hsvjq,147-2000000001187394
2023-03-16,0,166,2000000000198609,165,2000000000828479,346903.0,2,0,,sdv-pii-uf5wo,165-2000000000437163
2023-03-03,12,148,2000000002079048,165,2000000001689145,1.0,4,0,,sdv-pii-iuadv,153-2000000000560826
2023-03-17,9,135,2000000001927322,159,2000000001057816,156866.0,7,0,,sdv-pii-0mc2u,159-2000000000668650
2023-03-14,15,153,2000000001344869,133,2000000001798450,129665.0,4,0,SP,sdv-pii-gsqt4,159-2000000001075007
2023-03-25,12,153,2000000001763722,133,2000000001121980,137029.0,1,0,,sdv-pii-0c4qq,160-2000000001939770
2023-03-26,9,136,2000000001300221,135,2000000001357477,74150.0,5,3,,sdv-pii-e0s5h,153-2000000000424386
2023-03-23,3,161,2000000001030495,165,2000000001548710,4413.0,7,3,,sdv-pii-14ide,159-2000000000446516
2023-03-24,3,160,2000000000995450,165,2000000001568920,92982.0,7,0,,sdv-pii-zolap,165-2000000000107113
2023-03-26,12,157,2000000001500342,153,2000000000857972,20756.0,2,0,,sdv-pii-jmm8e,161-2000000000656821
2023-03-02,15,159,2000000001064303,165,2000000001638551,116690.0,5,0,,sdv-pii-w9ul4,160-2000000001567653
2023-03-21,6,136,2000000001159077,159,2000000001351700,1.0,7,3,,sdv-pii-b70ph,160-2000000000634921
2023-03-09,3,136,2000000001148270,159,2000000000168529,1.0,7,3,,sdv-pii-fbjt1,159-2000000000668650
2023-03-06,9,165,2000000000182276,160,2000000000260015,108817.0,7,4,,sdv-pii-pj5pm,149-2000000001386865
2023-03-21,18,153,2000000001991517,132,2000000000130855,691029.0,4,0,,sdv-pii-1t43b,159-2000000001768444
2023-03-16,18,149,2000000001079166,133,2000000000272600,207365.0,2,0,,sdv-pii-h1tn2,148-2000000001253164
2023-03-14,12,165,2000000002015945,159,2000000000069301,150430.0,2,0,,sdv-pii-qnb3p,160-2000000001081175
2023-03-10,9,153,2000000000941054,121,2000000001157513,848412.0,4,0,SP,sdv-pii-063m0,153-2000000001200302
2023-03-02,9,165,2000000000997258,135,2000000001700088,11678.0,7,4,,sdv-pii-tyezs,137-2000000000949810
2023-03-06,18,135,2000000001461546,153,2000000001367646,210286.0,3,0,,sdv-pii-k9mop,133-2000000001244521
2023-03-03,12,153,2000000000697952,159,2000000000702446,171851.0,4,0,02,sdv-pii-mxyf4,165-2000000000107113
2023-03-21,15,147,2000000001049240,165,2000000000207353,1480394.0,4,0,,sdv-pii-56n4o,133-2000000000169491
2023-03-09,12,120,2000000001428390,160,2000000000872323,69528.0,6,0,,sdv-pii-okw94,161-2000000000241700
2023-03-14,15,149,2000000001363112,136,2000000001470743,2873.0,4,0,,sdv-pii-cxrxy,154-2000000001724164
2023-03-20,9,160,2000000000187912,134,2000000002092359,1104937.0,7,4,,sdv-pii-n741e,165-2000000001615211
2023-03-09,12,160,2000000002022344,134,2000000001014800,3544874.0,7,1,,sdv-pii-zpb0y,116-2000000002119443
2023-03-24,12,161,2000000001968814,135,2000000001101904,3473003.0,7,1,,sdv-pii-itm2g,136-2000000001303618
2023-03-22,6,149,2000000001099351,166,2000000000169489,902835.0,2,0,,sdv-pii-7onpq,133-2000000002056497
2023-03-14,18,153,2000000001039530,160,2000000001176490,264254.0,2,0,,sdv-pii-0t4x7,159-2000000001690318
2023-03-02,12,136,2000000001427236,153,2000000000001209,127745.0,5,0,,sdv-pii-umf8k,135-2000000000090902
2023-03-10,9,160,2000000001731008,165,2000000001244379,146941.0,7,0,,sdv-pii-19qpm,165-2000000001731397
2023-03-09,9,165,2000000001692522,160,2000000001053088,115268.0,7,4,,sdv-pii-q8h3q,160-2000000001514489
2023-03-09,9,161,2000000000715494,159,2000000001165683,176591.0,2,1,,sdv-pii-ovr7i,165-2000000001527257
2023-03-15,6,160,2000000000916033,133,2000000001634086,30060.0,4,0,,sdv-pii-g3yh6,159-2000000000462959
2023-03-20,6,165,2000000001035478,133,2000000000696039,54527.0,7,0,,sdv-pii-200h2,135-2000000000273894
2023-03-24,21,161,2000000000950813,133,2000000001150028,8659044.0,2,0,02,sdv-pii-35bbz,133-2000000000869259
2023-03-13,12,160,2000000000269554,132,2000000000914120,148863.0,4,0,,sdv-pii-zwg5v,123-2000000001538497
2023-03-10,0,160,2000000001422927,165,2000000000866784,139798.0,2,0,,sdv-pii-5ylzr,132-2000000000344718
2023-03-01,18,162,2000000000879676,133,2000000000162712,246734.0,2,0,,sdv-pii-ckdsv,159-2000000000535742
2023-03-10,12,136,2000000001483350,165,2000000001336370,51137.0,4,0,,sdv-pii-0gxw4,153-2000000001356992
2023-03-16,6,149,2000000001855394,153,2000000001569604,24558.0,4,0,02,sdv-pii-1jbkp,165-2000000000780397
2023-03-23,6,135,2000000001159542,133,2000000001338841,11049.0,7,0,,sdv-pii-24ehu,136-2000000001236787
2023-03-24,12,154,2000000001725991,134,2000000001633317,19485945.0,4,0,01,sdv-pii-f3b7j,165-2000000002010710
2023-03-13,12,161,2000000001531456,159,2000000000908518,130704.0,2,0,01,sdv-pii-eucl5,149-2000000000754642
2023-03-22,18,136,2000000001895977,159,2000000001963152,248674.0,7,0,,sdv-pii-q9tpr,135-2000000000528696
2023-03-07,15,166,2000000000226215,133,2000000001124354,840471.0,2,0,02,sdv-pii-o0rjv,136-2000000000439766
2023-03-02,12,149,2000000001105436,160,2000000001069742,1.0,7,0,,sdv-pii-kedhr,161-2000000002089685
2023-03-02,18,148,2000000001102891,159,2000000001284827,73151.0,7,0,,sdv-pii-vt6e2,159-2000000001524249
2023-03-13,9,146,2000000001978601,153,2000000000180159,142430.0,4,0,,sdv-pii-tyc8g,133-2000000000713580
2023-03-02,0,159,2000000000970056,135,2000000000655207,89645.0,4,0,,sdv-pii-96kfp,136-2000000000361644
2023-03-16,15,136,2000000001542443,133,2000000000973707,133243.0,4,0,,sdv-pii-3e24h,137-2000000000949810
2023-03-14,21,148,2000000001081130,134,2000000000168692,123157.0,2,0,,sdv-pii-n95xj,153-2000000001393267
2023-03-24,18,148,2000000001719609,159,2000000001599286,3469570.0,4,0,,sdv-pii-37q2b,135-2000000000729229
2023-03-02,9,137,2000000001589504,159,2000000001108537,52648.0,7,3,,sdv-pii-qycwj,159-2000000000240282
2023-03-10,12,160,2000000002121249,165,2000000001520611,1.0,7,0,,sdv-pii-m32e1,133-2000000000713580
2023-03-01,15,148,2000000001521677,165,2000000001184397,47993.0,2,0,,sdv-pii-tfelg,153-2000000000787471
2023-03-25,18,154,2000000000779840,164,2000000001611802,169568.0,2,0,,sdv-pii-yeewi,161-2000000002089685
2023-03-02,6,154,2000000000926800,160,2000000001189134,229001.0,6,0,,sdv-pii-vwgqn,160-2000000002095256
2023-03-14,6,148,2000000001740616,164,2000000000228582,1.0,4,0,,sdv-pii-cjj3w,160-2000000000653077
2023-03-10,15,160,2000000000536586,153,2000000000111666,18391.0,7,0,,sdv-pii-vfo6x,165-2000000002010710
2023-03-11,18,166,2000000001190672,133,2000000000931844,188044.0,2,0,,sdv-pii-wz8oq,166-2000000001391903
2023-03-21,9,149,2000000000771994,160,2000000001090893,4243118.0,2,0,02,sdv-pii-pdd22,165-2000000000594805
2023-03-14,18,106,2000000001452415,164,2000000000131629,3395476.0,1,0,,sdv-pii-jte6c,165-2000000000584319
2023-03-08,9,154,2000000001331198,133,2000000001603360,222014.0,4,0,SP,sdv-pii-wwv0y,153-2000000000198804
2023-03-26,9,153,2000000000298738,165,2000000000134008,301042.0,4,0,SP,sdv-pii-k30w1,109-2000000000214061
2023-03-02,21,160,2000000000210631,133,2000000001143433,192976.0,2,0,,sdv-pii-8knje,153-2000000001852801
2023-03-10,3,162,2000000000148255,133,2000000001163208,1.0,4,0,,sdv-pii-zyiev,159-2000000001225694
2023-03-03,12,162,2000000000904861,132,2000000001135616,438833.0,2,0,,sdv-pii-j83sk,159-2000000000350913
2023-03-03,9,150,2000000001009152,160,2000000000218819,425062.0,2,0,,sdv-pii-h52g2,161-2000000001559694
2023-03-14,12,136,2000000001009006,153,2000000001135791,53836.0,7,3,,sdv-pii-kfqc4,135-2000000000636388
2023-03-06,6,160,2000000001019568,136,2000000000973744,9552883.0,2,0,02,sdv-pii-ptgjp,160-2000000000642239
2023-03-24,9,105,2000000001104544,165,2000000001641033,119354.0,1,0,,sdv-pii-f4ree,160-2000000001955264
2023-03-13,15,148,2000000000190726,165,2000000001097884,808690.0,6,0,,sdv-pii-hho7o,165-2000000001362569
2023-03-13,12,156,2000000000574044,147,2000000001350797,117099.0,3,0,,sdv-pii-r9hya,134-2000000000649129
2023-03-10,18,150,2000000000485692,133,2000000000127574,255629.0,4,0,,sdv-pii-g501v,165-2000000000756718
2023-03-06,18,148,2000000001870637,126,2000000000522946,8964929.0,2,0,01,sdv-pii-txh0s,160-2000000000272545
2023-03-02,6,166,2000000001782169,132,2000000001222211,53733.0,7,0,,sdv-pii-720sz,160-2000000001221997
2023-03-10,12,161,2000000000667572,165,2000000000287991,9255.0,2,0,01,sdv-pii-otm38,135-2000000000528696
2023-03-10,9,165,2000000002094556,135,2000000000960686,1.0,6,0,,sdv-pii-83rsz,137-2000000001025618
2023-03-10,21,137,2000000001466888,165,2000000001851992,22728.0,2,0,,sdv-pii-ausoi,166-2000000000202943
2023-03-03,18,105,2000000002108265,164,2000000000968266,18533689.0,1,0,,sdv-pii-h7gae,165-2000000002010710
2023-03-13,18,136,2000000001198787,165,2000000000563124,33270.0,6,0,,sdv-pii-edjds,165-2000000001532677
2023-03-14,9,166,2000000001997238,165,2000000001171393,98490.0,7,1,,sdv-pii-6seyf,165-2000000000998356
2023-03-25,9,153,2000000001417804,133,2000000000595665,126556.0,4,0,SP,sdv-pii-p7ebf,136-2000000000486067
2023-03-03,3,160,2000000001981170,153,2000000000141188,124973.0,7,0,,sdv-pii-a3kjr,165-2000000000107113
2023-03-10,15,154,2000000001544306,165,2000000001691921,91092.0,4,0,SP,sdv-pii-wycbh,135-2000000000005488
2023-03-02,21,161,2000000001449411,135,2000000000599614,2787.0,2,0,02,sdv-pii-uam7x,137-2000000001317951
2023-03-23,15,159,2000000002012049,133,2000000001350364,179885.0,3,0,,sdv-pii-62jef,153-2000000001356992
2023-03-03,12,149,2000000000992210,132,2000000001512666,1.0,4,0,,sdv-pii-izu10,160-2000000000765513
2023-03-03,12,135,2000000000321596,165,2000000000670664,70878.0,4,0,,sdv-pii-d50vc,161-2000000000570202
2023-03-03,9,136,2000000001333725,136,2000000001612024,64362.0,4,0,,sdv-pii-evmbq,159-2000000001690318
2023-03-10,9,160,2000000000753800,165,2000000001103365,3278609.0,4,1,,sdv-pii-dnbua,136-2000000000073261
2023-03-07,9,152,2000000001413333,134,2000000002121249,139945.0,4,0,,sdv-pii-kri04,165-2000000001838926
2023-03-24,9,136,2000000001892542,160,2000000000225069,16346.0,5,4,,sdv-pii-gd5lw,109-2000000000214061
2023-03-02,6,161,2000000002062218,133,2000000000560140,97195.0,2,0,,sdv-pii-mc6oy,159-2000000001225694
2023-03-15,12,135,2000000000406554,153,2000000001356787,42152151.0,3,0,,sdv-pii-o73kz,153-2000000001356992
2023-03-14,12,162,2000000000979833,133,2000000000275301,143695.0,2,0,,sdv-pii-gcogz,136-2000000000779098
2023-03-24,3,135,2000000000143442,160,2000000001018372,138913.0,7,0,,sdv-pii-6beus,153-2000000000424386
2023-03-13,12,161,2000000001822674,160,2000000001092514,232007.0,2,0,,sdv-pii-n6aqc,153-2000000002088300
2023-03-07,3,133,2000000000850094,132,2000000001337954,60331.0,7,0,,sdv-pii-pazay,153-2000000001356992
2023-03-11,21,136,2000000000222994,132,2000000001211735,229099.0,2,0,,sdv-pii-a6wm8,132-2000000000637613
2023-03-14,3,135,2000000001966728,133,2000000001381510,103730.0,2,0,,sdv-pii-t0fmp,153-2000000000198804
2023-03-10,9,159,2000000001824328,133,2000000001247612,169617.0,2,0,01,sdv-pii-fqay6,154-2000000000996954
2023-03-09,9,160,2000000000973690,136,2000000001673736,8978645.0,7,1,,sdv-pii-tn3i8,160-2000000001451118
2023-03-14,12,135,2000000001002229,134,2000000000147402,69459.0,4,0,,sdv-pii-mx8wp,133-2000000000001209
2023-03-24,18,136,2000000001193366,160,2000000001363167,135681.0,5,3,,sdv-pii-f461o,160-2000000000634921
2023-03-10,18,135,2000000001206407,133,2000000000686630,50048.0,4,0,,sdv-pii-gdc3q,160-2000000000241171
2023-03-13,21,161,2000000000506303,147,2000000001630162,259394.0,2,0,,sdv-pii-1hops,153-2000000000424386
2023-03-23,18,162,2000000001861295,134,2000000001155852,20923557.0,2,0,01,sdv-pii-cf2r6,135-2000000000687860
2023-03-20,0,166,2000000001940681,160,2000000001127530,68073.0,2,0,,sdv-pii-g9va3,165-2000000001932282
2023-03-03,0,157,2000000000904163,116,2000000000535222,92844.0,1,0,01,sdv-pii-mmuzr,133-2000000001209268
2023-03-15,9,160,2000000002002098,165,2000000001827914,109983.0,2,0,,sdv-pii-75hay,160-2000000001081175
2023-03-23,12,136,2000000001169190,160,2000000000313823,10281.0,7,4,,sdv-pii-ka60x,165-2000000001130420
2023-03-11,18,150,2000000000993086,133,2000000001668293,1.0,2,0,,sdv-pii-jk5fs,137-2000000000685210
2023-03-25,21,149,2000000001604462,133,2000000001761996,32596.0,4,0,,sdv-pii-5vido,161-2000000000043915
2023-03-10,9,160,2000000000227854,160,2000000001389076,2701.0,2,0,,sdv-pii-3t4dt,153-2000000001852801
2023-03-15,9,153,2000000001860890,133,2000000000164796,30968.0,4,0,SP,sdv-pii-hq1to,159-2000000000718285
2023-03-14,21,149,2000000001706488,135,2000000001293129,577595.0,7,1,,sdv-pii-buhsf,161-2000000000081969
2023-03-25,18,133,2000000000978061,133,2000000001277370,97637.0,4,0,,sdv-pii-dgjqm,136-2000000001404786
2023-03-10,0,161,2000000001006666,165,2000000000851249,21685699.0,2,0,,sdv-pii-v7ykc,165-2000000002010299
