tran_dt,tran_tmrg,wd_fc_sn,wd_ac_sn,dps_fc_sn,dps_ac_sn,tran_amt,md_type,fnd_type,ff_sp_ai,Source,Target,Source_DC,Target_DC,Source_CC,Target_CC,Source_BC,Target_BC
2023-03-02,0,160,2000000001341569,133,2000000000110490,1709364.0,2,0,,160_2000000001341569,133_2000000000110490,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,12,154,2000000000805643,119,2000000001192772,164427.0,4,0,SP,154_2000000000805643,119_2000000001192772,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,12,150,2000000001509948,134,2000000000517815,281100.0,4,0,,150_2000000001509948,134_2000000000517815,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,9,160,2000000000646837,165,2000000000347092,151118.0,2,0,,160_2000000000646837,165_2000000000347092,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,6,148,2000000001532964,133,2000000001359127,61039.0,7,0,,148_2000000001532964,133_2000000001359127,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,0,160,2000000000235635,134,2000000000826614,199902.0,2,0,,160_2000000000235635,134_2000000000826614,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,21,159,2000000001454082,159,2000000000232494,197654.0,5,3,,159_2000000001454082,159_2000000000232494,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,12,159,2000000001342563,153,2000000001352733,220938.0,3,0,,159_2000000001342563,153_2000000001352733,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,12,159,2000000001202746,132,2000000000088950,115179.0,2,0,,159_2000000001202746,132_2000000000088950,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,6,136,2000000000236729,160,2000000000992326,157687.0,7,4,SP,136_2000000000236729,160_2000000000992326,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-12,15,153,2000000001121134,165,2000000001133945,20376735.0,2,0,01,153_2000000001121134,165_2000000001133945,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,9,153,2000000001999990,165,2000000001579381,2575640.0,7,1,,153_2000000001999990,165_2000000001579381,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,18,135,2000000002065672,159,2000000001523562,4394764.0,7,0,,135_2000000002065672,159_2000000001523562,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,21,134,2000000000980163,135,2000000000186832,815430.0,4,0,SP,134_2000000000980163,135_2000000000186832,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,15,158,2000000001631754,159,2000000000449197,253703.0,5,0,,158_2000000001631754,159_2000000000449197,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,12,153,2000000001826425,132,2000000000905201,51676.0,4,0,,153_2000000001826425,132_2000000000905201,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,18,136,2000000000825596,133,2000000000792682,238220.0,4,0,,136_2000000000825596,133_2000000000792682,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,18,136,2000000001156940,159,2000000001350979,61495.0,7,3,,136_2000000001156940,159_2000000001350979,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,18,161,2000000001408085,133,2000000001572688,40265.0,2,0,,161_2000000001408085,133_2000000001572688,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,18,161,2000000000201702,132,2000000000641082,31228.0,2,0,,161_2000000000201702,132_2000000000641082,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-08,21,136,2000000001577040,134,2000000001624274,207448.0,5,4,,136_2000000001577040,134_2000000001624274,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-22,6,161,2000000001443274,159,2000000000621970,25164.0,7,0,,161_2000000001443274,159_2000000000621970,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,21,162,2000000000984589,147,2000000000993658,18209.0,2,0,,162_2000000000984589,147_2000000000993658,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-08,9,166,2000000001962082,165,2000000000104182,99624.0,4,0,SP,166_2000000001962082,165_2000000000104182,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,6,160,2000000000507559,159,2000000001053382,175623.0,2,0,,160_2000000000507559,159_2000000001053382,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,9,153,2000000001476477,165,2000000001985573,314669.0,4,0,,153_2000000001476477,165_2000000001985573,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,6,135,2000000000562717,153,2000000001359087,71976.0,4,0,,135_2000000000562717,153_2000000001359087,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,12,148,2000000001771154,160,2000000000092973,200120.0,7,0,,148_2000000001771154,160_2000000000092973,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-17,6,136,2000000000130754,159,2000000000194217,1.0,7,0,,136_2000000000130754,159_2000000000194217,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,12,136,2000000001179963,165,2000000001621225,157811.0,5,0,,136_2000000001179963,165_2000000001621225,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,18,159,2000000001430434,153,2000000001090190,183293.0,4,0,,159_2000000001430434,153_2000000001090190,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,15,158,2000000002048082,159,2000000001339103,148136.0,7,0,,158_2000000002048082,159_2000000001339103,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,3,136,2000000001444072,159,2000000000615408,1.0,4,3,,136_2000000001444072,159_2000000000615408,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,18,161,2000000000579456,132,2000000000957646,53164.0,2,0,,161_2000000000579456,132_2000000000957646,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-11,18,162,2000000000915142,132,2000000001029448,237447.0,2,0,,162_2000000000915142,132_2000000001029448,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,6,136,2000000001583282,160,2000000002098228,1.0,2,0,,136_2000000001583282,160_2000000002098228,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,21,160,2000000002066272,160,2000000000711889,192040.0,2,0,,160_2000000002066272,160_2000000000711889,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,15,147,2000000001181472,165,2000000001396595,3405365.0,2,0,,147_2000000001181472,165_2000000001396595,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,18,136,2000000000969135,133,2000000000155400,249827.0,2,0,,136_2000000000969135,133_2000000000155400,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,6,160,2000000002056870,159,2000000000036692,145058.0,7,0,,160_2000000002056870,159_2000000000036692,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,9,161,2000000001549102,165,2000000001274562,116194.0,2,0,,161_2000000001549102,165_2000000001274562,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,18,160,2000000001035472,158,2000000001059774,126165.0,2,0,,160_2000000001035472,158_2000000001059774,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-06,21,161,2000000001954270,159,2000000000915317,9156728.0,2,0,,161_2000000001954270,159_2000000000915317,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,21,149,2000000000678744,165,2000000001778544,63698.0,4,0,02,149_2000000000678744,165_2000000001778544,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,21,161,2000000002022208,132,2000000001143390,3654040.0,4,0,01,161_2000000002022208,132_2000000001143390,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,9,136,2000000001189174,165,2000000000598037,252950.0,5,0,,136_2000000001189174,165_2000000000598037,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,12,149,2000000000356386,133,2000000001586338,221709.0,2,0,,149_2000000000356386,133_2000000001586338,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-17,12,153,2000000000219969,165,2000000000920753,8998101.0,4,0,02,153_2000000000219969,165_2000000000920753,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,21,149,2000000000874803,165,2000000000919570,91043.0,2,0,02,149_2000000000874803,165_2000000000919570,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,6,148,2000000001721760,165,2000000000127059,77177.0,4,0,,148_2000000001721760,165_2000000000127059,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,3,165,2000000001026205,133,2000000001613757,379733.0,2,0,,165_2000000001026205,133_2000000001613757,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,6,149,2000000001948485,136,2000000001622020,1.0,1,0,01,149_2000000001948485,136_2000000001622020,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,3,136,2000000001193461,159,2000000001135881,1.0,7,3,,136_2000000001193461,159_2000000001135881,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,6,135,2000000001679517,165,2000000000119402,289279.0,5,0,,135_2000000001679517,165_2000000000119402,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,6,136,2000000001049864,160,2000000000375066,1.0,7,3,,136_2000000001049864,160_2000000000375066,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-11,9,148,2000000000323298,132,2000000001095478,4934433.0,2,0,,148_2000000000323298,132_2000000001095478,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,21,149,2000000001732192,133,2000000000298304,269497.0,2,0,,149_2000000001732192,133_2000000000298304,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,12,161,2000000000245384,159,2000000001609136,432693.0,2,0,,161_2000000000245384,159_2000000001609136,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,0,165,2000000000178870,133,2000000001600959,179447.0,2,0,,165_2000000000178870,133_2000000001600959,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,3,136,2000000001602976,164,2000000001579006,239877.0,7,0,,136_2000000001602976,164_2000000001579006,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,9,134,2000000000628087,165,2000000001129267,51307.0,7,0,,134_2000000000628087,165_2000000001129267,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,9,148,2000000000142689,165,2000000001648426,193868.0,2,0,,148_2000000000142689,165_2000000001648426,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,18,135,2000000001442858,158,2000000000113739,173398.0,2,0,,135_2000000001442858,158_2000000000113739,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-22,9,148,2000000000132002,165,2000000000695928,19376054.0,4,0,02,148_2000000000132002,165_2000000000695928,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-27,18,148,2000000001575642,134,2000000000171920,198077.0,2,0,,148_2000000001575642,134_2000000000171920,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,9,116,2000000001510192,122,2000000001018618,133117.0,4,0,,116_2000000001510192,122_2000000001018618,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-11,21,148,2000000001528976,165,2000000000283856,1802.0,2,0,,148_2000000001528976,165_2000000000283856,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-22,15,162,2000000000907626,165,2000000001546954,975214.0,2,0,02,162_2000000000907626,165_2000000001546954,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,15,149,2000000000708212,132,2000000000946742,313545.0,4,0,,149_2000000000708212,132_2000000000946742,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-11,9,161,2000000001481881,132,2000000001262517,288712.0,2,0,,161_2000000001481881,132_2000000001262517,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,0,161,2000000001486977,160,2000000001078278,195413.0,2,0,,161_2000000001486977,160_2000000001078278,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,9,159,2000000001998009,160,2000000001155094,1856575.0,7,0,,159_2000000001998009,160_2000000001155094,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-20,6,160,2000000001383508,159,2000000000233142,9534820.0,2,0,02,160_2000000001383508,159_2000000000233142,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,15,112,2000000001371614,153,2000000001678075,90763.0,2,0,,112_2000000001371614,153_2000000001678075,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,12,136,2000000001314993,159,2000000000974198,72260.0,5,0,,136_2000000001314993,159_2000000000974198,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,12,137,2000000000563722,159,2000000000725895,184106.0,2,0,,137_2000000000563722,159_2000000000725895,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,6,136,2000000001073657,165,2000000000235234,162108.0,5,0,SP,136_2000000001073657,165_2000000000235234,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-07,12,148,2000000001153624,165,2000000001045389,1.0,2,0,02,148_2000000001153624,165_2000000001045389,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,6,136,2000000001022981,135,2000000000198876,1.0,2,0,,136_2000000001022981,135_2000000000198876,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,6,160,2000000001493154,165,2000000001509931,266488.0,7,0,,160_2000000001493154,165_2000000001509931,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,6,136,2000000000227098,165,2000000001055142,6687.0,6,0,,136_2000000000227098,165_2000000001055142,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,9,136,2000000000928994,159,2000000000407500,47069.0,7,3,,136_2000000000928994,159_2000000000407500,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,12,135,2000000001442352,135,2000000000903374,104888.0,4,0,,135_2000000001442352,135_2000000000903374,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,12,136,2000000001498116,165,2000000001014897,155374.0,4,0,,136_2000000001498116,165_2000000001014897,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,6,136,2000000000548287,159,2000000000919136,1.0,7,3,,136_2000000000548287,159_2000000000919136,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,15,154,2000000001543388,160,2000000000222508,86525.0,4,0,,154_2000000001543388,160_2000000000222508,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-26,18,147,2000000000473579,160,2000000000935928,170413.0,4,0,,147_2000000000473579,160_2000000000935928,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,9,134,2000000001996755,133,2000000001053604,282854.0,2,0,,134_2000000001996755,133_2000000001053604,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-15,15,136,2000000000461316,165,2000000001142270,701444.0,2,0,02,136_2000000000461316,165_2000000001142270,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,15,161,2000000001134937,133,2000000001993682,18316578.0,2,0,,161_2000000001134937,133_2000000001993682,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,21,148,2000000000338998,159,2000000000208216,8919067.0,4,0,02,148_2000000000338998,159_2000000000208216,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,12,161,2000000001170072,135,2000000000982289,2468778.0,4,0,02,161_2000000001170072,135_2000000000982289,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,18,165,2000000000893217,133,2000000001017648,189645.0,4,0,,165_2000000000893217,133_2000000001017648,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,15,160,2000000000491828,133,2000000000819100,1.0,2,0,,160_2000000000491828,133_2000000000819100,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-04,9,153,2000000000995230,165,2000000000160640,269101.0,4,0,SP,153_2000000000995230,165_2000000000160640,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-20,6,137,2000000001154388,159,2000000000790765,222613.0,7,3,,137_2000000001154388,159_2000000000790765,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-11,9,160,2000000001574445,134,2000000001787197,84979.0,2,0,,160_2000000001574445,134_2000000001787197,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-13,6,160,2000000001366493,165,2000000001587452,1.0,2,0,02,160_2000000001366493,165_2000000001587452,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,9,148,2000000000805131,135,2000000001119311,19674562.0,2,0,01,148_2000000000805131,135_2000000001119311,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,0,166,2000000000198609,165,2000000000828479,346903.0,2,0,,166_2000000000198609,165_2000000000828479,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-03,12,148,2000000002079048,165,2000000001689145,1.0,4,0,,148_2000000002079048,165_2000000001689145,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-17,9,135,2000000001927322,159,2000000001057816,156866.0,7,0,,135_2000000001927322,159_2000000001057816,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,15,153,2000000001344869,133,2000000001798450,129665.0,4,0,SP,153_2000000001344869,133_2000000001798450,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-25,12,153,2000000001763722,133,2000000001121980,137029.0,1,0,,153_2000000001763722,133_2000000001121980,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-26,9,136,2000000001300221,135,2000000001357477,74150.0,5,3,,136_2000000001300221,135_2000000001357477,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-23,3,161,2000000001030495,165,2000000001548710,4413.0,7,3,,161_2000000001030495,165_2000000001548710,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-24,3,160,2000000000995450,165,2000000001568920,92982.0,7,0,,160_2000000000995450,165_2000000001568920,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-26,12,157,2000000001500342,153,2000000000857972,20756.0,2,0,,157_2000000001500342,153_2000000000857972,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-02,15,159,2000000001064303,165,2000000001638551,116690.0,5,0,,159_2000000001064303,165_2000000001638551,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,6,136,2000000001159077,159,2000000001351700,1.0,7,3,,136_2000000001159077,159_2000000001351700,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-09,3,136,2000000001148270,159,2000000000168529,1.0,7,3,,136_2000000001148270,159_2000000000168529,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-06,9,165,2000000000182276,160,2000000000260015,108817.0,7,4,,165_2000000000182276,160_2000000000260015,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-21,18,153,2000000001991517,132,2000000000130855,691029.0,4,0,,153_2000000001991517,132_2000000000130855,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-16,18,149,2000000001079166,133,2000000000272600,207365.0,2,0,,149_2000000001079166,133_2000000000272600,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-14,12,165,2000000002015945,159,2000000000069301,150430.0,2,0,,165_2000000002015945,159_2000000000069301,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
2023-03-10,9,153,2000000000941054,121,2000000001157513,848412.0,4,0,SP,153_2000000000941054,121_2000000001157513,5.0150451354062184e-05,5.0150451354062184e-05,0.0,5.0150451354062184e-05,0.0,0.0
